timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,
1.52308E+15,-9,86,87,-22,-44,-93,-107,-22,-124
1.52308E+15,116,-8,-112,-2,-14,76,100,69,225
1.52308E+15,-108,-36,-21,-11,48,-94,127,-19,-114
1.52308E+15,-41,16,-60,5,46,-17,-75,-22,-148
1.52308E+15,57,-1,-25,0,-59,-37,-63,95,-33
1.52308E+15,-8,3,18,2,-2,-59,-66,-22,-134
1.52308E+15,-68,-66,11,-2,-106,-35,-108,-72,-446
1.52308E+15,-81,-33,8,0,57,55,16,18,40
1.52308E+15,-105,-48,-97,13,-6,-42,76,8,-201
1.52308E+15,115,83,52,-17,110,11,-39,14,329
1.52308E+15,-25,-112,-128,1,-55,-88,10,-15,-412
1.52308E+15,78,69,-7,3,76,49,17,-8,277
1.52308E+15,-38,-55,-71,4,80,-69,-102,-101,-352
1.52308E+15,-128,-67,-51,7,-105,-23,-79,32,-414
1.52308E+15,107,103,89,-1,41,-62,53,71,401
1.52308E+15,50,30,-8,3,-98,-28,1,-48,-98
1.52308E+15,-41,-6,16,-10,66,50,76,28,179
1.52308E+15,11,22,-5,-4,-72,109,50,-71,40
1.52308E+15,27,-22,16,2,69,100,41,-57,176
1.52308E+15,-35,18,-7,-1,7,-53,-6,40,-37
1.52308E+15,14,8,40,-6,-11,48,-49,25,69
1.52308E+15,-55,-13,-32,12,33,-69,-23,-27,-174
1.52308E+15,-12,-2,-36,-4,-100,-10,-113,-12,-289
1.52308E+15,-3,19,31,-5,57,26,93,-14,204
1.52308E+15,-2,-32,8,2,2,-3,36,17,28
1.52308E+15,18,23,-17,2,-7,-74,-110,-15,-180
1.52308E+15,-5,47,19,-9,11,-52,90,33,134
1.52308E+15,-13,3,-10,-1,-63,-101,-128,-68,-381
1.52308E+15,61,8,29,4,25,81,127,85,420
1.52308E+15,-39,-29,-16,5,76,26,55,-46,32
1.52308E+15,33,-64,-24,3,-6,-30,-106,-17,-211
1.52308E+15,-33,43,-8,-10,-40,33,59,12,56
1.52308E+15,10,-5,-13,6,12,-52,56,-29,-15
1.52308E+15,-16,7,-4,-1,-82,10,-20,50,-56
