timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1523080529214954,2,-7,-45,-19,-18,-8,2,-6
1523080529220969,1,1,-6,-14,34,27,-5,-5
1523080529220969,3,12,12,-1,-42,-7,0,-1
1523080529235980,-4,3,14,4,3,-7,-2,0
1523080529235980,-8,-21,-55,-22,5,-15,-10,-6
1523080529243979,4,6,35,60,19,7,-5,2
1523080529243979,8,4,3,-24,-32,-25,-10,-1
1523080529258996,-20,-4,4,9,30,7,24,0
1523080529258996,4,-5,1,-16,-35,53,-11,-2
1523080529266007,-1,0,1,-2,-10,-5,9,5
1523080529266007,-4,-4,-17,6,30,5,10,0
1523080529274997,7,5,19,-1,-7,-26,-19,-5
1523080529274997,-1,-1,-7,7,25,-14,-9,-3
1523080529281015,9,-4,21,2,-7,-9,-1,-2
1523080529281015,-25,-8,-11,-1,-11,19,4,-7
1523080529296023,6,2,3,-4,-9,0,1,5
1523080529296023,4,-2,-8,8,3,-1,3,-4
1523080529304031,-28,-9,-13,0,9,-7,-9,-9
1523080529304031,5,-1,0,4,-17,-12,-7,0
1523080529319061,9,10,24,26,10,20,9,5
1523080529319061,2,-4,5,-20,-16,-16,-11,-6
1523080529326048,-6,-5,-11,-2,9,-63,-14,-4
1523080529326048,5,1,0,-8,7,99,13,9
1523080529335046,-10,-5,-13,-14,6,-15,-4,-4
1523080529335046,1,2,-1,10,-20,-16,-5,4
1523080529341059,7,2,-5,-8,-35,-14,-3,3
1523080529341059,8,-5,5,-8,-1,-26,-16,-9
1523080529356065,-10,-1,13,21,27,27,9,0
1523080529356065,-10,-2,-9,3,-5,-3,6,-1
1523080529364071,23,2,3,-10,3,13,-2,3
1523080529364071,-20,5,-4,-6,3,-13,-6,-2
1523080529379082,9,-4,0,-5,-7,2,-3,-3
1523080529379082,8,-6,-9,41,16,-6,6,7
1523080529386087,50,-8,-24,21,5,32,24,16
1523080529386087,-48,2,73,-109,-13,-22,-1,-7
1523080529395082,-19,-26,-3,58,-7,-15,-11,-10
1523080529395082,25,-13,16,115,17,13,-1,-12
1523080529401097,-107,30,19,35,1,6,-10,-78
1523080529401097,60,-37,-17,5,-12,-16,-2,6
1523080529416108,-34,54,4,-77,4,11,15,41
1523080529416108,41,4,-18,-75,22,5,5,53
1523080529424113,-20,-49,-20,-14,7,9,7,10
1523080529424113,-8,-20,-7,6,2,-10,2,-26
1523080529439118,76,78,63,120,-4,-6,-15,-39
1523080529439118,-118,-31,-16,41,1,13,3,-56
1523080529446129,31,-11,-30,98,-6,-5,-1,8
1523080529446129,21,2,-27,12,-3,4,-3,-5
1523080529455126,-52,-27,43,-97,2,-4,9,27
1523080529455126,33,40,-14,-124,5,2,-15,-9
1523080529477141,36,-45,-1,-119,-4,2,-1,38
1523080529477141,-64,-26,-32,58,-10,-10,0,-28
1523080529479143,2,34,22,51,2,6,-1,15
1523080529479143,21,8,0,-83,7,-2,0,4
1523080529484162,41,-11,-33,13,-2,5,3,-21
1523080529484162,-45,-13,6,-60,-5,-2,2,-4
1523080529499158,51,-7,13,60,7,0,-12,-27
1523080529499158,-24,-28,-6,38,-7,0,9,8
1523080529506163,1,-24,-13,31,-4,1,-8,-45
1523080529506163,-79,95,76,-102,4,-34,-4,104
1523080529515168,92,-35,-98,8,2,-5,-10,-27
1523080529515168,-27,26,72,51,-1,24,31,0
1523080529529178,-5,-24,-62,9,8,-22,-44,-15
1523080529529178,-44,7,33,70,1,18,20,5
1523080529536184,-35,-46,-56,-108,-15,-86,-36,-29
1523080529536184,15,27,-20,-38,-14,52,18,113
1523080529544189,-12,9,0,31,7,-23,4,-10
1523080529544189,23,3,-57,0,21,-34,-15,-62
1523080529558200,-35,-6,32,41,55,-42,-26,-21
1523080529558200,73,-13,-9,48,-16,69,57,50
1523080529566204,62,26,-31,-103,-69,113,50,-29
1523080529566204,75,22,-3,84,-26,-64,-42,-23
1523080529575211,77,22,5,-54,11,99,-17,-10
1523080529575211,21,-52,-51,-25,-69,-128,-60,-128
1523080529589221,-128,-1,-27,-76,-27,127,23,-20
1523080529589221,127,71,60,-24,25,-41,48,-7
